Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
353,A74,Druge hlamidijaze,Morbi chlamydiales alii
354,A740,Zapaljenje vežnjače uzrokovano hlamidijom,Conjunctivitis chlamydialis (H13.1*)
355,A748,Druge bolesti uzrokovane hlamidijom,Morbi chlamydiaies alii
356,A749,"Infekcija uzrokovana hlamidijom, neoznačena","Infectio chlamydialis, non specificata"
357,A75,Pegavac - tifusna groznica koju prenose vaši,Febris typhica pediculis transmissa
358,A750,"Pegavi tifus, uzročnik Rickettsia prowazeki",Typhus exanthematosus per Rickettsiam prowazeki
359,A751,Brillova bolest,Morbus Brill
360,A752,"Pegavac, uzročnik Rickettsia typhi",Febris typhica per Rickettsiam typhi
361,A753,"Pegavac, uzročnik Rickettsia tsutsugamushi",Febria typhica per Rickettsiam tsutsugamushi
362,A759,"Pegavac, neoznačen","Febris typhica, non specificata"
363,A77,Osipna groznica koju prenose krpelji,Febris exanthematosa ixodibus transmissa
364,A770,"Osipna groznica, uzroč.Rickettsia rickettsii",Febris exanthematosa per Rickettsiam rickettsii
365,A771,"Osipna groznica, uzročnik Rickettsia conori",Febris exanthematosa per Rickettsiam conori
366,A772,"Osipna groznica, uzročnik Rickettsia siberica",Febris exanthematosa per Rickettsiam sibericam
367,A773,"Osipna groznica, uzročnik Rickettsia australis",Ferbis exanthematosa per Rickettsiam australensem
368,A778,Druge osipne groznice koje prenose krpelji,Febres exanthematosae ixodibus transmissae aliae
369,A779,"Osipna groznica koju prenose krpelji, neoznačena","Febris exanthematosa, non specificata"
370,A78,Kju-groznica,Febris Q
371,A79,Druge rikecioze,Rickettsioses aliae
372,A790,Rovovska groznica,"Febris fossae - ""trench-fever"""
373,A791,"Rikecijske boginje,uzročnik Rickettsia akari",Rickettsialopox per Rickettsiam akari
374,A798,Druge označene rikecioze,"Rickettsiosess aliae, specificatae"
375,A799,"Rikecioza, neoznačena","Rickettsiosis, non specificata"
376,A80,Akutna dečja paraliza,Poliomyelitis anterior acuta
377,A800,"Akutna dečja paraliza,posle vakcinacije","Poliomyelitis paralytica acuta, postvaccinalis"
378,A801,"Akutna dečja paraliza,divlji importovani virus",Poliomyelitis paralytica acuta (virus importatum)
379,A802,"Akutna dečja paraliza, domaći virus",Poliomyelitis paralytica acuta (virus autochtonum)
380,A803,Druga i neoznačena akutna dečja paraliza,"Poliomyelitis paralytica acuta, alia, non specificata"
381,A804,Druga akutna neparalitička dečja paraliza,"Poliomyelitis acuta, non paralytica"
382,A809,"Akutna dečja paraliza, neoznačena","Poliomyelitis acuta, non specificata"
383,A81,Spore infekcije centralnog nervnog sistema uzrokovane virusima,Infectiones systematis nervosi centralis virales lentae
384,A810,Creutzfeldt-Jakobova bolest,Morbus Creutzfeldt-Jakob
385,A811,Subakutno sklerozirajuće difuzno zapaljenje mozga,Panencephalitis scleroticans subacuta
386,A812,Progresivno višežarišno oboljenje bele moždane mase,Leucoencephalopathia multifocaiia progressiva
387,A818,Druge spore infekcije centralnog nervnog sistema uzrokovane virusom,Infectiones aystematis nervosi centralis virales lentae aliae
388,A819,"Spora infekcija centralnog nervnog sistema uzrokovana virusima, neoznačena","Infectio systematis nervosi centralis viralis lenta, non specificata"
389,A82,Besnilo,Rabies
390,A820,Šumsko besnilo,Rabies slivatica
391,A821,Gradsko besnilo,Rabies urbana
392,A829,"Besnilo, neoznačeno","Rabies, non specificata"
393,A83,Zapaljenje mozga uzrokovana virusima koje prenose komarci,Encephalitis viralis anophelis transmissa
394,A830,Japansko zapaljenje mozga,Encephalitis japonica
395,A831,Zapadno konjsko zapaljenje mozga,Encephalitis equine occidentalis
396,A832,Istočno konjsko zapaljenje mozga,Encephalitis equine orientalis
397,A833,Zapaljenje mozga St. Louis,Encephalitis St. Louis
398,A834,Australijsko zapaljenje mozga,Encephalitis australiensis
399,A835,Kalifornijsko zapaljenje mozga,Encephalitis californiensis
400,A836,Rociova bolest,Morbus viralis Rocio
401,A838,Druga zapaljenja mozga uzrokovana virusima koje prenose komarci,Encephalitis viralis anophelis transmissa alia
402,A839,"Zapaljenje mozga uzrokovano virusima koje prenose komarci, neoznačeno","Encephalitis viralis anophelis transmissa, non specificata"
403,A84,Zapaljenje mozga uzrokovano virusima koje prenose krpelji,Encephalitis viralis ixodibus transmissa
404,A840,Dalekoistočno zapaljenje mozga,Encephalitis Orientis extremi ixodibus transmissa
405,A841,Centralnoevropsko zapaljenje mozga,Encephalitis Europae centralis ixodibus transmissa
406,A848,Druga zapaljenja mozga uzrokovana virusima koje prenose krpelji,Encephalitis viralis ixodibus transmissa alia
407,A849,"Zapaljenje mozga uzrokovano virusima koje prenose krpelji,neoznačeno","Encephalitis viralis ixodibus transmissa, non specificata"
408,A85,Druga zapaljenja mozga uzrokovana virusima,Encephalitis viralis alia
409,A850,Zapaljenje mozga uzrokovano enterovirusima,Encephalitis enteroviralis (G05.1*)
410,A851,Zapaljenje mozga uzrokovano adenovirusima,Encephalitis adenoviralis (G05.1*)
411,A852,"Zapaljenje mozga uzrokovano virusima koje prenose insekti, neoznačeno","Encephalitis viralis arthoropodis transmissa, non specificata"
412,A858,Druga označena zapaljenja mozga uzrokovana virusima,"Encephalitis viralis alia, specificata"
413,A86,"Zapaljenje mozga uzrokovano virusima, neoznačeno","Encephalitis viralis, non specificata"
414,A87,Zapaljenje moždanica uzrokovano virusima,Meningitis viralis
415,A870,Zapaljenja moždanica uzrokovana enterovirusima,Meningitis enteroviralis (G02.0*)
416,A871,Zapaljenja moždanica uzrokovana adenovirusima,Meningitis adenoviralis (G02.0*)
417,A872,Zapaljenje srednje sudovnjače oka i moždanica sa povećanim brojem limfocita,Choriomeningitis lymphocytica
418,A878,Druga zapaljenja moždanica uzrokovanavirusima,Meningitis viralis alia
419,A879,"Zapaljenja moždanica uzrokovana virusima, neoznačena","Meningitis viralis, non specificata"
420,A88,Druge infekcije centralnog nervnog sistema uzrokovane virusima,Infectiones systematis nervosi centralis virales aliae
421,A880,Osipna groznica uzrokovana enterovirusom Boston,Febris exanthematosa enteroviralis. exanthema Boston)
422,A881,Epidemijska vrtoglavica,Vertigo epidemica
423,A888,Druge označene infekcije centralnog nervnog sistema uzrokovane virusima,"Infectiones systematis nervosi centralis virales alia, specificatae"
424,A89,Infekcija centralnog nervnog sistema uzrokovana neoznačenim virusima,"Infectio systematis nervosi centralis viralis, non specificata"
425,A90,Groznica denga,Febris dengue
426,A91,Hemoragijska denga groznica,Febris dengue haemorrhagica
427,A92,Druge groznice uzrokovane virusima koje prenose komarci,Febres virales anophelis transmissae aliae
428,A920,Bolest uzrokovana virusom Chikungunya,Morbus viralis Chikungunya
429,A921,Groznica O nyong-nyong,Febris O nyong-nyong
430,A922,Venecuelska konjska groznica,Febris equina venezuelensis
431,A923,Zapadnonilska groznica,Febris West Nile
432,A924,Groznica doline Rift,Febris Rift valley
433,A928,Druge označene groznice uzrokovane virusima koje prenose komarci,"Febres virales anophelis tranamissae aliae, specificatae"
434,A929,"Groznica uzrokovana virusima koje prenose komarci, neoznačena","Febris viralis anophelis transmissa, non specificata"
435,A93,Druga groznica uzrokovana virusom koju prenose insekti,Febris viralis arthropodis transmissa alia
436,A930,Bolest uzrokovana virusom oropouche,Morbus viralis Oropouche
437,A931,Groznica papataći,Febris Sandfly
438,A932,Groznica Kolorado koju prenose krpelji,Febris ixodica Colorado
439,A938,Druga označena groznica uzrokovana virusima koje prenose insekti,"Febris viralis arthropodis transmissa alia, specificata"
440,A94,"Groznica uzrokovana virusima koje prenose insekti, neoznačena","Febris viralis arthropodis transmissa, non specificata"
441,A95,Žuta groznica,Febris flava
442,A950,Šumska žuta groznica,Febris flava silvatica
443,A951,Gradska žuta groznica,Febris flava urbana
444,A959,"Žuta groznica, neoznačena","Febris flava, non specificata"
445,A96,Hemoragijska groznica uzrokovana arenavirusima,Febris haemorrhagica arenaviralis
446,A960,Hemoragijska groznica Junin,Febris haemorrhagica Junin
447,A961,Hemoragijska groznica Machupo,Febris haemorrhagica Machupo
448,A962,Umarajuća groznica,Febris lassa
449,A968,Druga hemoragijska groznica uzrokovana arenavirusima,Febris haemorrhagica arenaviralis alia
450,A969,"Hemoragijska groznica uzrokovana arenavirusima, neoznačena","Febris haemorrhagica arenaviralis, non specificata"
451,A98,Druge hemoragijske groznice uzrokovane virusima,Febris haemorrhagicae virales aliae
452,A980,Krimsko-kongoanska hemoragijska groznica,Febris haemorrhagica Crim-Congo
453,A981,Omska hemoragijska groznica,Febris haemorrhagica Omsk
454,A982,Šumska bolest Kyasanura,Morbus silvaticus Kyasanur
455,A983,Marburgška virusna bolest,Morbus viralis Marburg
456,A984,Bolest Ebola uzrokovana virusom,Morbus viralis Ebola
457,A985,Hemoragijska groznica sa bubrežnim sindromom,Febris haemorrhagica cum syndroma renali
458,A988,Druge označene hemoragijske groznice uzrokovane virusima,"Febris haemorrhagicae virales aliae, specificatae"
459,A99,"Hemoragijska groznica uzrokovana virusom,neoznačena","Febris haemorrhagica viralis, non specificata"
460,B00,"Infekcija virusom,uzročnik Herpes simplex",Infectiones herpesvirales
461,B000,Ospa uzrokovana virusom,Eczema herpeticum
462,B001,Mehurasto zapaljenje kože uzrokovano herpesvirusom,Dermatitis vesicularis herpetica
463,B002,"Zapaljenje sluznice desni,usta,ždrela i krajnika uzrokovano herpesvirusom",Gingivostomatitis et pharyngotonsillitis herpetica
464,B003,Zapaljenje moždanica uzrokovano herpesvirusom,Meningitis herpetica (G02.0*)
465,B004,Zapaljenje mozga uzrokovano herpesvirusom,Encephalitis herpetica (G05.1*)
466,B005,Bolest oka uzrokovana herpesvirusom,Morbus oculi herpeticus
467,B007,Generalizovana bolest uzrok.ovana herpes virusom,Herpes generalisatus
468,B008,Drugi oblici infekcija uzrokovani herpes virusom,"Infectio herpetica,formae aliae"
469,B009,"Infekcija uzrokovana herpes virusom,neoznačena","Infectio herpetica,non specificata"
470,B01,Varičela-ovčije boginje,Varicella
471,B010,Zapaljenje moždanica uzrokovano virusom varičele,Meningitis varicellosa(G02.0*)
472,B011,Zapaljenje mozga uzrokovano virusom varičele,Encephalitis varicellosa (G05.1*)
473,B012,Zapaljenje pluća uzrokovano virusom varičele,Pneumonia varicellosa (J17.1*)
474,B018,Ovčije boginje sa drugim komplikacijama,Varicella cum compilcationibus aliis
475,B019,Ovčije boginje bez komplikacija,Varicella sine complicatione
476,B02,Zonski-pojasasti herpes,Herpes zoster
477,B020,Zapaljenje mozga uzrokovano virusom herpes zostera,Encephalitis zostrica (G05.1*)
478,B021,Zapaljenje moždanica uzrokovano virusom herpes zostera,Meningitis zostrica (G02.0*)
479,B022,Herpes zoster sa drugim komplikacijama nervnog sistema,Herpes zoster cum complicationibus systematis nervosi aliis
480,B023,Bolest oka uzrokovana virusom herpes zostera,Morbus oculi zostricus
481,B027,Rasejani herpes zoster,Herpes zoster disseminatus
482,B028,Herpes zoster sa drugim komplikacijama,Herpes zoster cum complicationibus aliis
483,B029,Herpes zoster bez komplikacija,Herpes zoster sine complicationibus
484,B03,Velike boginje,Variola vera
485,B04,Boginje majmuna,Variola simiaca
486,B05,Morbili-male boginje,Morbilli
487,B050,Zapaljenje mozga uzrokovano virusom malih boginja,Encephalitis morbillosa (G05.1*)
488,B051,Zapaljenje moždanica uzrokovano virusom malih boginja,Meningitis morbillosa (G02.0*)
489,B052,Zapaljenje pluća uzrokovano virusom malih boginja,Pneumonia morbillosa (J17.1*)
490,B053,Zapaljenje srednjeg uva uzrokovano virusom malih boginja,Otitis media morbillosa (H67.1*)
491,B054,Male boginje sa crevnim komplikacijama,Morbilli cum complicationibus intestinalibus
492,B058,Male boginje sa drugim komplikacijama,Morbilli cum complicationibus alii
493,B059,Male boginje bez komplikacija,Morbilli sine complicationibus
494,B06,Rubeola-crvenka,Rubeola
495,B060,Rubeola sa neurološkim komplikacijama,Rubeola cum complicationibus neurologicis
496,B068,Rubeola sa drugim komplikacijama,Rubeola cum complicationibus aliis
497,B069,Rubeola bez komplikacija,Rubeola sine complicationibus
498,B07,Virusne bradavice,Verrucae virales
499,B08,Druge infekcije sa oštećenjem kože i sluznice uzrokovane virusima,Infectiones virales cum laesionibus mucocutaneis aliae
500,B080,Druge infekcije uzrokovane ortopoks virusom,Infectiones orthopoxvirales aliae
501,B081,Zarazna peteljkasta bradavica,Molluscum contagiosum
502,B082,Ospa kože uzrokovana virusima,Exanthema subitum
503,B083,Zarazno crvenilo,Erythema infectivum
504,B084,Plikovito zapaljenje sluznice usta uzrokovano enterovirusom,Stomatitis vesiculosa enteroviralis
505,B085,Plikovito zapaljenje ždrela uzrokovano enterovirusom,Pharyngitis vesiculosa enteroviralis
506,B088,Druge označene infekcije sa oštećenjem kože i sluznice uzrokovane virusima,Infectiones virales cum laesionibus mucocutaneis aliae specificatae
507,B09,"Neoznačena infekcija sa oštećenjima kože i sluznice ,uzrokovana virusima",Infectio viralis cum laesionibus mucocutaneis non specificata
508,B15,Akutno zapaljenje jetre uzrokovano virusom A,Hepatitis acuta A
509,B150,"Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom A",Hepatitis A cum comate hepatico
510,B159,"Akutno zapaljenje jetre bez hepatičke kome,uzrokovano virusom A",Hepatitis A sine comate hepatico
511,B16,Akutno zapaljenje jetre uzrokovano virusom B,Hepatitis acuta B
512,B160,"Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom B sa delta agenso","Hepatitis acuta B cum delta agente (coinfectio),cum comate hepatico"
513,B161,"Akutno zapaljenje jetre bez hepatičke kome ,uzrokovano virusom B sa delta agens","Hepatitis acuta B cum delta agente,sine comate hepatico"
514,B162,"Akutno zapaljenje jetre sa hepatičkom komom,uzrokovano virusom B bez delta agens","Hepatitis acuta B sine delta agente,cum comate hepatico"
515,B169,"Akutno zapaljenje jetre i bez hepatičke kome,uzrokovano virusom B bez delta agen",Hepatitis acuta B sine delta agente et sine comate hepatico
516,B17,Druga akutna zapaljenja jetre uzrokovana virusima,Hepatitis viralis acuta alia
517,B170,Akutna delta superinfekcija nosioca hepatitisa B bez povrede jetre,Infectio delta agente acuta in B antigenaemia sine laesione hepatis
518,B171,Akutno zapaljenje jetre uzrokovano virusom C,Hepatitis acuta C
519,B172,Akutno zapaljenje jetre uzrokovano virusom E,Hepatitis acuta E
520,B178,Drugo označeno akutno zapaljenje jetre uzrokovano virusom,"Hepatitis viralis alia, specificata"
521,B18,Hronična zapaljenja jetre uzrokovana virusima,Hepatitis viralis chronica
522,B180,Hronično zapaljenje jetre uzrokovano virusom B sa delta agensom,Hepatitis viralis chronica B cum delta agente
523,B181,Hronično zapaljenje jetre uzrokovano virusom B bez delta agensa,Hepatitis viralis chronica B sine delta agente
524,B182,Hronično zapaljenje jetre uzrokovano virusom C,Hepatitis viralis chronica C
525,B188,Druga hronična zapaljenja jetre uzrokovana virusom,Hepatitis viralis chronica alia
526,B189,"Hronično zapaljenje jetre uzrokovano virusima,neoznačeno","Hepatitis viralis chronica,non specificata"
527,B19,"Zapaljenja jetre uzrokovana virusima,neoznačena","Hepatitis viralis,non specificata"
528,B190,Neoznačeno zapaljenje jetre sa komom uzrokovano virusima,"Hepatitis viralis cum comate,non specificata"
529,B199,"Zapaljenje jetre bez kome uzrokovano virusima,neoznačeno","Hepatitis viralis sine comate,non specificata"
530,B20,Sida-Bolest stečenog nedostatka imuniteta sa zaraznim i parazitarnim bolestima,Morbus HIV - morbus deficientiae immunitatis acquisitae cum morbis infectivis et
531,B200,Sida sa infekcijom uzrokovanom mikobakterijama,Morbus HIV cum infectione mycobacteriali
532,B201,Sida sa drugim infekcijama uzrokovanim bakterijama,Morbus HIV cum infectionibus bacterialibus adjunctis aliis
533,B202,Sida sa citomegalovirusnom bolešću,Morbus HIV cum morbo cytomegalovirali adjuncto
534,B203,Sida sa drugim infekcijama uzrokovanim virusima,Morbus HIV cum infectionibus viralibus adjunctis aliis
535,B204,Sida sa kandidijazom,Morbus HIV cum candidiase adjuncta
536,B205,Sida sa drugim mikozama,Morbus HIV cum mycosibus adjunctis aliis
537,B206,Sida sa zapaljenjem pluća(Pneumocystis carinii),Morbus HIV cum pneumonia (Pneumocystis carinii) adjuncta
538,B207,Sida sa drugim mnogobrojnim infekcijama,Morbus HIV cum infectionibus multiplicibus adjuncta aliis
539,B208,Sida sa drugim zaraznim bolestima i parazitarnim bolestima,Morbus HIV cum morbis infectivis et parasitariis adjunctis
540,B209,Sida sa neoznačenom zaraznom bolešću ili parazitarnom bolešću,Morbus HIV cum morbo infectivo sive parasitario adjuncto non specificato
541,B21,Sida sa zloćudnim tumorima,Morbus HIV cum neoplasmatis malignis adjunctis
542,B210,Sida sa Kaposijevim sarkomom,Morbus HIV cum sarcomate Kaposi adjuncto
543,B211,Sida sa Burkittovim tumorom limfne žlezde,Morbus HIV cum lymphomate Burkitt adjuncto
544,B212,Sida sa drugim tipovima ne-Hodgkinovih tumora limfnih žlezda,Morbus HIV cum typis lymphomatis non Hodkin adjunctis aliis
545,B213,"Sida sa drugim zloćudnim tumorima limfnog,hematopoeznog i srodnog tkiva","Morbus HIV cum neoplasmatis malignis textus lymphatici,haematopoietici et textus"
